codigo,codigoUf,nomeUf,nomeUfSigla,codigoIbge,Nome,capital
235,15,Pará,PA,1505007,Nova Timboteua,false
236,15,Pará,PA,1505031,Novo Progresso,false
237,15,Pará,PA,1505064,Novo Repartimento,false
238,15,Pará,PA,1505106,Óbidos,false
239,15,Pará,PA,1505205,Oeiras do Pará,false
240,15,Pará,PA,1505304,Oriximiná,false
241,15,Pará,PA,1505403,Ourém,false
242,15,Pará,PA,1505437,Ourilândia do Norte,false
243,15,Pará,PA,1505486,Pacajá,false
244,15,Pará,PA,1505494,Palestina do Pará,false
245,15,Pará,PA,1505502,Paragominas,false
246,15,Pará,PA,1505536,Parauapebas,false
247,15,Pará,PA,1505551,Pau D'arco,false
248,15,Pará,PA,1505601,Peixe-Boi,false
249,15,Pará,PA,1505635,Piçarra,false
250,15,Pará,PA,1505650,Placas,false
251,15,Pará,PA,1505700,Ponta de Pedras,false
252,15,Pará,PA,1505809,Portel,false
253,15,Pará,PA,1505908,Porto de Moz,false
254,15,Pará,PA,1506005,Prainha,false
255,15,Pará,PA,1506104,Primavera,false
256,15,Pará,PA,1506112,Quatipuru,false
257,15,Pará,PA,1506138,Redenção,false
258,15,Pará,PA,1506161,Rio Maria,false
259,15,Pará,PA,1506187,Rondon do Pará,false
260,15,Pará,PA,1506195,Rurópolis,false
261,15,Pará,PA,1506203,Salinópolis,false
262,15,Pará,PA,1506302,Salvaterra,false
263,15,Pará,PA,1506351,Santa Bárbara do Pará,false
264,15,Pará,PA,1506401,Santa Cruz do Arari,false
265,15,Pará,PA,1506500,Santa Izabel do Pará,false
266,15,Pará,PA,1506559,Santa Luzia do Pará,false
267,15,Pará,PA,1506583,Santa Maria das Barreiras,false
268,15,Pará,PA,1506609,Santa Maria do Pará,false
269,15,Pará,PA,1506708,Santana do Araguaia,false
270,15,Pará,PA,1506807,Santarém,false
271,15,Pará,PA,1506906,Santarém Novo,false
272,15,Pará,PA,1507003,Santo Antônio do Tauá,false
273,15,Pará,PA,1507102,São Caetano de Odivelas,false
274,15,Pará,PA,1507151,São Domingos do Araguaia,false
275,15,Pará,PA,1507201,São Domingos do Capim,false
276,15,Pará,PA,1507300,São Félix do Xingu,false
277,15,Pará,PA,1507409,São Francisco do Pará,false
278,15,Pará,PA,1507458,São Geraldo do Araguaia,false
279,15,Pará,PA,1507466,São João da Ponta,false
280,15,Pará,PA,1507474,São João de Pirabas,false
281,15,Pará,PA,1507508,São João do Araguaia,false
282,15,Pará,PA,1507607,São Miguel do Guamá,false
283,15,Pará,PA,1507706,São Sebastião da Boa Vista,false
284,15,Pará,PA,1507755,Sapucaia,false
285,15,Pará,PA,1507805,Senador José Porfírio,false
286,15,Pará,PA,1507904,Soure,false
287,15,Pará,PA,1507953,Tailândia,false
288,15,Pará,PA,1507961,Terra Alta,false
289,15,Pará,PA,1507979,Terra Santa,false
290,15,Pará,PA,1508001,Tomé-Açu,false
291,15,Pará,PA,1508035,Tracuateua,false
292,15,Pará,PA,1508050,Trairão,false
293,15,Pará,PA,1508084,Tucumã,false
294,15,Pará,PA,1508100,Tucuruí,false
295,15,Pará,PA,1508126,Ulianópolis,false
296,15,Pará,PA,1508159,Uruará,false
297,15,Pará,PA,1508209,Vigia,false
298,15,Pará,PA,1508308,Viseu,false
299,15,Pará,PA,1508357,Vitória do Xingu,false
300,15,Pará,PA,1508407,Xinguara,false
301,16,Amapá,AP,1600055,Serra do Navio,false
302,16,Amapá,AP,1600105,Amapá,false
303,16,Amapá,AP,1600154,Pedra Branca do Amapari,false
304,16,Amapá,AP,1600204,Calçoene,false
305,16,Amapá,AP,1600212,Cutias,false
306,16,Amapá,AP,1600238,Ferreira Gomes,false
307,16,Amapá,AP,1600253,Itaubal,false
308,16,Amapá,AP,1600279,Laranjal do Jari,false
309,16,Amapá,AP,1600303,Macapá,true
310,16,Amapá,AP,1600402,Mazagão,false
311,16,Amapá,AP,1600501,Oiapoque,false
312,16,Amapá,AP,1600535,Porto Grande,false
313,16,Amapá,AP,1600550,Pracuúba,false
314,16,Amapá,AP,1600600,Santana,false
315,16,Amapá,AP,1600709,Tartarugalzinho,false
316,16,Amapá,AP,1600808,Vitória do Jari,false
317,17,Tocantins,TO,1700251,Abreulândia,false
318,17,Tocantins,TO,1700301,Aguiarnópolis,false
319,17,Tocantins,TO,1700350,Aliança do Tocantins,false
320,17,Tocantins,TO,1700400,Almas,false
321,17,Tocantins,TO,1700707,Alvorada,false
322,17,Tocantins,TO,1701002,Ananás,false
323,17,Tocantins,TO,1701051,Angico,false
324,17,Tocantins,TO,1701101,Aparecida do Rio Negro,false
325,17,Tocantins,TO,1701309,Aragominas,false
326,17,Tocantins,TO,1701903,Araguacema,false
327,17,Tocantins,TO,1702000,Araguaçu,false
328,17,Tocantins,TO,1702109,Araguaína,false
329,17,Tocantins,TO,1702158,Araguanã,false
330,17,Tocantins,TO,1702208,Araguatins,false
331,17,Tocantins,TO,1702307,Arapoema,false
332,17,Tocantins,TO,1702406,Arraias,false
333,17,Tocantins,TO,1702554,Augustinópolis,false
